100	90
15 51	66 55	29 43	45 31	20 27	0 84	46 1	82 83	88 12	26 5	22 61	27 12	33 19	13 84	32 91	2 3	73 52	5 74	6 35	41 20	61 47	85 52	1 68	74 3	21 79	69 28	44 48	12 2	8 89	42 90	65 58	63 84	36 98	62 83	79 46	38 1	11 8	3 17	23 25	78 68	17 36	86 36	77 13	9 82	24 7	72 81	54 78	4 3	83 37	55 63	56 10	35 94	19 44	39 80	75 48	52 8	87 27	81 2	43 1	84 70	60 27	80 51	49 14	16 39	28 91	89 6	76 26	71 3	51 28	31 29	70 9	25 71	10 45	57 36	14 46	68 74	48 64	40 56	58 76	53 70	47 24	34 70	59 18	67 83	64 13	37 94	18 58	50 64	30 91	7 74
82 41	15 13	9 92	55 13	79 34	66 78	49 9	3 5	21 18	31 85	10 84	73 10	59 34	61 8	72 5	0 64	71 80	11 27	22 59	75 34	67 5	62 87	89 76	7 16	37 93	83 27	51 40	48 47	38 71	42 19	19 23	5 4	47 67	64 41	68 39	6 19	63 10	52 35	14 85	80 24	32 81	39 82	74 94	18 37	57 95	77 90	20 1	24 13	8 16	69 41	46 5	44 25	50 85	81 48	13 33	56 75	43 41	85 81	41 97	26 82	76 26	86 72	65 46	12 19	16 60	45 57	53 46	28 63	25 94	88 6	58 7	78 92	23 81	84 62	29 92	40 41	60 75	54 28	4 24	27 48	1 89	87 78	33 77	70 22	30 27	2 87	35 68	34 4	36 20	17 58
1 10	59 14	20 74	54 67	9 11	70 97	77 71	62 16	23 41	45 5	37 30	86 30	27 32	13 56	66 19	28 79	67 83	34 69	76 63	17 78	32 10	43 49	51 46	41 27	63 15	18 18	57 42	44 50	49 86	75 34	7 74	65 44	40 32	69 12	39 49	25 84	19 5	74 54	10 30	3 83	35 31	80 78	5 51	78 29	87 84	8 38	61 55	68 40	12 86	85 13	36 84	31 54	38 45	89 13	30 30	52 71	55 80	46 90	42 16	22 27	21 84	81 30	82 57	33 10	0 65	26 82	2 81	73 75	72 18	56 40	79 24	53 73	6 33	29 29	84 20	60 30	15 4	16 56	88 58	50 14	58 27	11 56	64 65	48 30	4 81	24 16	47 6	83 99	71 96	14 63
83 95	64 36	80 64	10 88	46 54	48 32	84 36	16 13	51 92	41 79	36 46	65 11	47 69	70 33	85 29	75 99	22 70	4 95	77 14	15 99	25 79	45 51	12 82	69 90	29 85	6 39	37 87	17 11	31 93	14 28	49 74	78 90	62 78	86 61	13 32	8 56	50 24	63 56	81 98	43 25	52 24	56 24	76 46	18 76	60 98	54 97	28 15	87 51	71 97	7 9	32 99	55 59	40 52	57 14	89 14	88 54	30 77	39 30	2 26	0 97	11 1	19 84	67 41	24 13	44 7	73 34	82 55	3 75	5 53	68 90	38 31	61 17	34 19	58 17	23 76	42 98	72 39	53 26	1 6	74 28	33 18	59 36	26 39	35 80	66 3	79 13	27 6	9 48	20 32	21 86
30 27	15 51	88 53	31 48	13 28	40 47	65 45	2 97	53 78	89 58	6 51	64 39	37 39	75 70	3 2	84 12	67 72	36 66	26 16	11 64	29 91	38 44	7 73	87 14	12 58	62 13	34 22	83 6	55 97	73 71	52 83	42 70	69 18	22 14	33 12	80 56	58 50	72 24	35 93	25 24	46 56	48 2	8 46	4 97	70 88	21 97	77 7	54 89	63 5	23 78	32 64	9 98	43 30	19 84	78 80	50 30	1 39	66 17	49 55	16 86	47 99	60 40	14 58	76 55	74 21	59 19	51 33	18 1	10 51	24 45	86 99	68 26	28 78	71 59	57 55	82 37	45 97	17 2	27 46	5 25	44 76	39 13	79 80	81 75	85 92	20 59	56 31	41 20	0 13	61 86
47 83	21 41	79 89	84 28	39 62	54 10	44 51	74 55	87 84	33 72	36 96	86 44	13 19	8 37	7 34	83 1	68 99	56 4	71 85	61 62	89 6	28 22	42 63	59 15	43 62	34 34	22 58	31 23	30 8	41 81	2 34	1 52	55 78	78 78	4 90	38 30	45 29	65 33	5 13	76 71	58 78	48 79	40 81	26 96	15 82	35 73	6 15	14 1	17 56	16 69	53 55	3 61	75 45	37 40	27 46	32 64	50 5	88 17	10 25	70 43	52 61	57 69	60 76	23 55	67 79	66 50	18 81	85 55	64 71	29 99	63 4	19 44	73 62	24 64	25 57	80 13	81 51	51 84	72 23	46 13	82 5	11 29	49 96	62 10	77 99	69 73	20 23	12 9	0 43	9 47
41 21	56 56	29 2	7 76	65 61	21 20	86 81	67 4	46 6	53 46	84 42	62 32	10 83	12 35	60 37	54 12	85 47	20 90	15 17	55 28	69 58	70 80	22 6	36 77	49 6	5 55	38 79	88 61	8 49	0 69	34 7	33 49	51 82	30 57	18 34	52 89	3 99	78 32	19 76	71 32	45 19	50 30	39 22	82 67	14 39	44 70	35 40	79 45	2 59	6 84	27 91	11 48	26 2	28 49	42 11	81 59	43 41	63 67	76 77	48 88	47 26	66 91	31 32	9 58	83 68	89 87	57 14	32 83	72 2	64 10	40 47	4 37	25 94	58 56	75 4	16 63	87 83	80 17	1 13	17 13	68 90	13 83	23 13	59 46	74 79	77 62	73 66	24 16	37 60	61 92
53 20	8 34	0 32	20 92	28 27	27 29	69 13	29 6	56 57	64 74	42 18	60 52	10 84	72 53	75 88	55 99	23 43	6 80	11 24	87 25	76 83	26 47	85 92	30 84	36 45	46 79	16 99	31 24	61 52	34 75	2 79	82 43	63 6	80 48	44 97	78 68	47 3	37 18	24 7	70 96	71 61	4 78	59 44	40 89	33 63	1 94	19 37	73 44	12 75	88 58	83 63	74 3	17 97	9 68	48 13	3 67	14 99	58 58	5 27	52 30	68 72	65 68	62 68	35 36	39 22	84 32	81 18	66 14	32 92	22 61	49 36	41 49	77 17	38 28	15 30	50 16	45 33	25 93	18 87	21 48	79 9	54 48	67 36	7 60	86 60	13 94	89 11	51 27	57 32	43 61
87 49	32 72	70 72	16 45	56 77	64 74	4 8	61 78	11 46	58 80	88 7	12 72	76 58	5 40	31 12	28 7	77 42	73 21	54 22	84 80	17 52	20 6	10 58	79 9	45 17	75 39	57 45	85 70	47 1	8 93	33 1	65 66	74 73	34 8	15 51	26 40	0 28	86 61	72 33	2 56	62 5	30 11	24 56	29 17	71 84	3 77	63 90	78 58	40 83	7 18	27 37	38 22	83 47	53 18	89 15	49 56	37 79	41 25	42 80	35 47	67 90	6 25	68 49	13 27	51 6	80 67	52 21	69 86	21 60	48 38	14 9	44 18	18 15	43 31	25 52	23 11	22 84	36 70	66 77	60 64	39 94	9 89	59 55	1 49	82 26	81 81	19 90	55 77	46 17	50 87
78 3	41 98	87 72	56 86	81 75	43 50	26 76	5 13	23 12	66 75	89 63	19 2	20 63	38 41	52 85	44 53	6 28	10 9	69 49	12 70	27 52	49 15	37 44	80 20	88 22	48 4	18 44	16 48	65 91	71 17	85 70	74 47	39 64	34 51	82 37	17 8	36 93	53 84	62 7	8 38	70 54	9 51	33 77	31 9	73 98	50 13	57 17	77 88	46 50	63 99	47 27	67 42	13 30	42 22	58 61	83 5	30 39	11 24	68 43	60 76	86 83	28 42	79 24	59 28	40 22	7 7	1 18	32 9	3 16	4 47	15 90	14 60	75 6	29 81	72 81	21 27	35 1	2 90	24 10	55 88	84 49	25 47	51 98	54 5	61 21	76 89	45 74	64 27	0 38	22 52
14 50	66 94	19 49	26 17	56 43	23 19	11 97	42 28	32 57	7 39	45 52	46 70	75 23	17 34	69 41	13 50	59 15	27 37	10 48	3 8	20 46	9 43	47 55	35 2	74 17	72 71	21 63	37 43	82 98	81 34	33 28	0 90	88 76	58 16	2 54	80 42	25 77	62 13	54 42	43 12	52 94	70 98	49 91	15 49	8 47	16 64	61 12	77 99	38 69	85 1	24 28	44 5	55 72	51 8	57 63	29 1	41 30	48 3	36 73	12 43	39 30	31 51	89 64	68 16	18 77	40 14	65 89	64 94	5 61	84 71	83 23	78 84	6 92	63 88	71 72	4 80	53 43	86 26	50 74	73 1	30 70	28 74	34 38	1 5	67 24	87 20	60 36	76 80	22 11	79 59
76 31	63 78	47 56	74 73	38 54	68 41	69 62	28 3	11 19	53 25	18 45	16 91	30 90	70 20	45 89	23 25	34 67	85 60	73 74	39 28	83 23	61 66	41 60	51 74	14 16	20 52	64 87	48 3	78 33	58 88	3 66	9 49	15 24	50 21	10 8	4 45	22 18	87 86	54 83	82 86	49 1	62 91	86 32	46 78	32 6	5 32	6 81	65 96	40 23	88 62	81 41	31 2	43 49	77 66	44 4	75 82	2 15	37 48	1 61	27 43	36 8	42 88	8 70	72 18	84 35	12 46	55 5	79 82	33 91	59 33	60 1	29 11	67 46	66 80	89 8	7 71	56 87	0 57	24 96	13 83	25 12	26 67	71 68	80 88	21 66	52 98	57 67	35 68	17 39	19 29
23 66	62 83	52 11	57 3	60 21	7 84	73 20	58 78	81 95	46 73	13 56	76 28	4 21	22 13	63 60	68 57	59 67	25 49	49 38	47 3	53 82	84 49	2 60	26 12	69 32	8 46	20 50	9 52	78 84	42 74	56 30	51 68	43 5	38 12	39 28	54 74	77 14	28 54	61 9	34 65	19 17	3 51	41 86	16 3	15 87	40 78	74 2	65 82	79 94	50 56	0 92	11 2	30 80	87 14	17 22	83 90	36 57	29 84	55 74	12 40	18 77	82 13	10 97	85 61	37 99	6 40	31 82	32 37	86 38	35 94	5 10	48 23	27 2	72 50	71 15	33 56	80 87	14 30	66 85	70 11	21 19	64 67	67 73	45 62	24 40	75 19	89 89	44 90	88 17	1 49
89 34	56 78	54 20	63 59	79 76	82 31	37 57	48 25	58 77	14 42	71 2	59 14	70 77	51 45	32 83	83 46	80 10	9 79	55 62	26 95	47 86	73 72	15 5	23 32	64 55	31 67	40 24	27 47	42 22	76 72	43 68	13 53	61 7	29 89	85 48	2 97	10 23	65 93	5 81	46 36	16 27	36 99	74 39	0 49	39 20	34 10	78 9	7 32	33 50	44 2	22 47	3 21	69 97	68 8	84 48	4 59	62 87	35 48	18 59	87 71	17 92	41 62	75 2	11 86	66 26	81 97	6 45	20 10	53 23	45 31	60 52	52 48	21 36	86 9	88 81	67 64	12 85	77 87	1 11	8 33	19 3	50 65	38 53	24 40	57 24	25 89	30 72	28 51	49 73	72 47
30 32	61 44	72 21	36 83	31 90	18 94	52 51	23 70	38 82	53 40	58 81	11 53	17 16	63 67	70 75	74 5	5 82	28 5	24 18	67 58	65 89	83 64	71 74	42 70	40 9	76 81	66 51	49 8	47 96	77 61	32 64	56 38	43 13	85 70	48 29	50 45	55 22	86 71	25 52	20 48	37 96	89 21	81 84	19 24	15 43	9 12	87 18	27 13	4 10	62 98	60 14	22 14	59 5	6 43	21 79	16 13	29 20	80 13	84 64	10 29	14 22	35 21	73 73	33 37	45 52	34 2	78 92	69 88	39 18	64 33	82 27	46 60	75 94	7 37	8 22	1 92	26 45	41 73	68 50	0 6	88 63	54 98	57 42	3 35	2 67	79 57	12 98	13 23	51 78	44 26
12 36	75 47	13 80	25 51	85 66	15 65	19 19	11 82	58 2	79 54	39 33	34 37	76 74	59 36	0 7	26 8	10 89	24 70	31 84	16 35	86 85	7 27	47 56	49 87	77 57	14 37	30 36	2 88	71 54	5 23	89 45	82 77	45 54	64 10	84 94	55 6	80 94	43 40	87 70	65 47	8 77	42 50	33 93	72 18	60 86	23 51	9 45	46 93	6 61	54 81	81 38	1 52	83 9	62 14	4 63	48 75	52 59	40 72	32 35	78 54	27 7	17 86	69 12	41 31	70 21	20 5	51 13	18 96	67 35	88 97	50 44	68 59	73 8	56 60	36 72	28 25	74 4	21 45	66 5	37 61	29 7	44 32	3 47	38 65	57 87	22 10	35 52	63 39	53 81	61 20
46 43	37 78	1 28	61 21	42 89	74 77	18 45	28 73	23 63	80 93	44 31	47 92	29 80	12 9	31 7	43 56	78 98	58 26	16 19	77 63	64 71	59 4	33 6	9 5	0 9	39 7	68 52	76 97	60 51	56 63	40 68	85 96	32 12	55 16	13 58	63 14	24 56	84 11	5 78	15 62	73 51	38 44	82 50	30 34	50 87	41 54	36 71	3 97	4 73	86 35	53 90	6 13	20 18	72 61	22 54	81 48	34 77	8 53	69 88	11 56	87 78	17 65	25 25	88 80	45 3	75 2	54 13	67 30	10 95	65 20	71 2	57 28	48 95	27 59	14 71	52 12	83 47	2 44	51 15	19 44	7 6	35 33	70 37	26 1	49 65	66 93	21 99	79 9	62 14	89 8
63 5	18 26	58 22	74 58	52 87	46 95	10 63	9 16	4 13	20 92	47 83	80 64	69 39	36 81	34 89	37 70	33 38	76 82	56 16	67 24	44 30	57 54	17 68	54 45	43 34	72 98	65 91	23 74	25 86	86 89	51 71	6 19	84 79	24 63	75 34	64 96	73 58	16 29	87 80	45 58	48 12	28 38	42 18	55 20	61 36	5 55	78 77	7 71	1 4	19 81	2 15	82 70	77 17	89 59	30 83	81 36	59 66	41 47	62 60	8 78	35 67	83 6	22 63	39 49	50 67	88 57	14 5	15 40	26 96	79 69	71 69	11 35	70 3	29 88	31 10	53 29	0 88	68 56	21 3	3 52	13 91	38 39	40 94	85 31	60 87	12 59	49 61	66 33	27 63	32 93
67 74	34 75	21 76	80 13	29 54	18 25	45 3	27 73	55 9	25 27	40 41	48 90	51 10	36 68	37 30	23 33	81 91	32 43	54 5	76 26	64 74	7 79	56 96	41 86	83 4	38 71	52 52	86 3	14 62	85 12	70 45	2 22	61 50	84 63	0 30	58 18	11 90	10 6	60 64	30 68	35 78	57 5	88 20	71 62	31 57	12 5	49 64	15 30	4 47	17 92	42 32	19 65	24 57	44 95	28 86	26 86	22 6	69 55	46 15	3 35	78 1	39 98	9 93	79 68	5 58	72 4	82 29	65 20	87 24	66 72	74 23	68 62	62 47	8 61	89 58	63 5	20 72	77 55	75 96	6 89	47 80	43 21	1 64	53 96	73 31	59 13	16 54	50 56	13 58	33 72
21 22	70 24	52 19	46 83	76 63	25 40	54 9	84 84	71 42	79 93	14 98	83 90	44 16	17 94	42 91	10 56	41 24	65 17	63 86	32 74	89 3	19 69	24 67	13 85	37 27	88 39	33 21	47 1	22 48	31 23	45 31	68 26	58 53	59 10	51 61	28 96	81 70	86 28	34 3	82 74	75 45	6 1	62 89	87 85	74 28	40 14	38 23	48 54	67 21	77 95	69 9	7 73	36 57	8 55	18 90	39 90	56 40	57 11	26 90	50 35	60 56	85 5	43 69	2 86	1 72	49 28	53 27	16 87	0 71	72 46	55 6	29 78	27 52	78 63	30 63	61 97	64 18	9 66	3 47	5 20	35 73	73 59	80 69	11 92	66 60	20 2	15 70	23 96	4 2	12 68
39 70	42 21	40 18	23 93	11 13	14 63	44 50	88 3	38 45	0 36	71 89	24 98	12 88	59 63	57 17	87 86	47 54	68 76	45 31	67 97	86 51	72 71	54 18	82 68	25 47	9 43	32 71	31 57	1 27	16 55	34 31	43 54	10 21	7 65	61 59	55 9	69 13	46 4	13 91	30 68	89 14	77 37	29 71	35 19	49 10	83 38	27 80	6 66	75 30	2 80	37 58	84 36	66 22	64 20	36 34	74 69	76 34	62 84	21 15	58 9	48 84	20 49	56 95	15 60	5 72	60 83	4 90	65 65	18 8	73 26	78 55	53 36	41 23	17 35	51 15	80 42	52 30	79 38	50 2	33 51	8 85	85 78	81 24	3 85	22 19	70 32	28 2	19 40	26 27	63 86
8 84	89 65	72 56	52 36	55 56	62 97	75 44	88 42	49 36	63 32	47 69	60 72	84 92	86 14	3 82	57 57	70 13	53 42	67 94	68 78	2 44	17 2	18 80	61 29	45 92	9 30	46 92	36 48	76 96	58 18	51 59	38 7	28 24	11 32	80 80	13 4	7 52	15 56	34 93	71 44	42 97	41 19	69 79	79 42	12 28	16 21	37 28	66 29	40 71	19 21	20 56	24 48	29 34	39 48	48 49	5 22	35 15	74 46	33 30	77 68	10 49	87 61	21 10	82 61	0 63	23 95	64 81	73 20	32 31	83 1	81 8	50 86	56 88	65 97	78 26	26 79	1 5	25 89	22 28	27 58	31 76	6 74	43 3	59 53	30 72	85 82	14 69	54 70	4 20	44 8
24 54	29 12	83 34	49 22	25 23	51 2	57 68	10 94	79 18	20 38	53 11	33 51	56 62	39 74	70 35	5 89	0 27	78 68	60 58	19 28	38 39	45 58	44 58	26 3	31 69	69 34	37 86	15 67	23 23	2 68	6 28	61 31	63 3	72 75	74 27	13 34	62 35	86 5	12 10	46 25	41 90	55 22	52 85	47 5	87 91	68 63	81 10	50 65	71 68	89 67	82 70	73 41	9 74	32 60	11 83	1 25	64 25	35 59	40 10	67 18	3 25	34 92	58 42	48 56	66 6	18 25	21 61	76 68	77 98	65 23	28 97	8 55	80 59	4 83	30 76	75 41	17 89	36 46	84 89	27 87	85 55	54 95	16 78	42 52	7 55	43 13	59 44	14 73	88 50	22 12
46 66	36 61	70 75	35 55	69 56	57 67	82 99	71 19	78 99	11 31	24 55	43 23	33 59	50 50	62 79	40 58	61 77	45 13	49 44	13 25	6 76	76 89	5 27	80 91	4 7	1 22	52 44	81 21	37 3	48 92	58 18	68 13	26 50	8 57	0 68	51 17	77 57	74 83	31 15	10 6	54 56	39 77	89 73	21 19	55 52	66 43	20 15	25 92	17 82	19 55	28 59	18 93	75 45	9 26	85 33	15 33	7 49	86 79	56 60	29 83	47 76	65 54	64 62	59 29	44 3	41 85	14 65	3 72	22 3	88 57	42 76	67 77	83 63	60 31	2 76	12 43	16 85	53 83	27 71	72 78	63 7	87 91	34 31	32 47	30 4	73 51	84 6	38 32	23 2	79 91
44 63	51 11	29 33	75 74	40 26	19 8	78 29	71 67	60 59	21 33	66 60	0 35	74 62	82 99	64 13	12 31	65 41	32 12	72 97	42 73	45 12	10 85	6 59	67 1	41 68	77 93	39 93	54 99	37 71	30 77	70 33	16 88	2 78	56 49	50 44	3 22	38 99	88 49	11 9	15 36	52 19	13 71	36 75	27 82	73 92	22 35	63 61	14 72	9 2	83 64	79 77	48 12	25 53	34 59	24 52	81 46	43 89	23 76	33 28	87 84	86 84	47 82	18 19	46 29	68 61	85 5	80 52	61 63	53 93	49 70	55 37	8 7	4 65	5 9	69 23	35 44	31 91	26 63	7 81	84 99	28 21	76 79	89 12	59 94	20 64	1 79	58 10	62 25	57 18	17 23
25 66	88 64	37 54	3 56	51 46	46 2	80 44	40 52	26 10	38 70	63 4	77 18	79 64	2 73	1 94	13 99	87 19	76 48	5 98	78 83	89 69	48 80	58 58	54 61	31 78	60 59	73 60	16 49	6 19	39 45	84 23	52 42	86 30	22 89	19 10	42 9	30 36	72 77	17 32	36 43	64 59	8 45	43 86	7 21	82 91	9 82	66 16	20 52	62 17	21 43	47 79	35 68	28 77	65 12	0 40	83 60	44 72	67 32	53 56	85 99	56 60	49 29	81 45	55 74	29 29	27 48	41 95	61 94	74 32	71 13	34 73	14 64	24 10	15 59	12 30	32 31	33 38	23 31	11 46	4 90	75 52	18 33	70 66	69 54	50 23	57 80	10 75	59 27	68 44	45 38
23 94	82 96	73 73	87 94	88 56	31 98	57 95	32 53	25 36	83 40	33 10	1 61	43 76	6 15	81 33	3 85	59 77	28 37	40 89	29 27	84 16	19 95	46 77	20 89	60 63	47 27	21 54	26 50	71 54	14 87	63 40	54 39	77 28	38 75	42 92	56 22	30 87	51 42	62 58	72 68	37 57	24 50	18 13	27 78	65 59	13 74	4 26	12 94	11 69	64 1	75 76	2 96	69 65	48 34	52 90	41 78	44 45	16 48	10 99	9 19	45 34	68 98	89 4	85 76	7 64	0 64	58 2	76 68	86 83	35 73	5 22	39 21	49 27	53 74	61 66	70 19	79 23	74 12	36 84	80 74	22 5	55 9	66 47	34 24	17 86	67 5	15 37	78 10	8 46	50 97
42 14	85 87	81 50	89 4	7 55	88 17	71 3	12 90	21 90	22 77	0 87	15 49	72 88	65 54	31 12	54 44	32 96	50 20	80 8	28 59	30 74	2 15	66 65	29 35	44 13	63 46	18 82	86 55	60 18	78 28	77 2	3 6	8 13	62 8	38 67	74 66	53 54	58 7	61 44	1 14	9 47	19 20	34 55	43 63	67 15	25 35	45 15	76 27	83 60	48 92	82 14	47 14	5 84	23 15	69 94	24 60	49 63	17 28	41 6	40 27	26 63	20 62	27 80	39 8	70 35	16 31	64 89	57 33	84 73	79 45	4 76	59 55	68 25	37 72	51 41	13 32	87 94	35 37	52 87	33 93	55 72	36 4	75 35	11 12	73 25	10 56	14 90	6 93	56 55	46 43
62 23	44 46	17 59	21 92	37 51	12 70	38 39	14 22	29 46	65 56	70 54	28 29	19 28	67 92	51 88	73 4	71 22	33 48	69 22	76 2	63 13	75 10	39 8	52 50	32 15	83 87	82 44	81 96	66 15	2 41	57 18	6 88	9 74	88 5	5 95	64 71	40 46	46 67	49 39	20 64	56 97	85 28	26 4	50 8	77 92	58 14	41 35	10 22	45 10	4 66	22 44	25 75	61 67	89 67	86 3	24 9	54 69	30 13	87 49	15 84	1 2	35 18	47 84	34 65	3 38	31 26	7 29	0 46	53 12	55 65	13 39	74 96	79 67	78 70	84 16	8 2	23 92	43 63	60 34	48 29	72 62	27 90	11 85	68 88	42 73	16 36	80 13	36 4	18 32	59 18
73 9	16 26	22 53	11 44	72 10	52 74	54 82	39 18	27 25	14 88	44 80	33 96	50 65	87 5	66 29	34 63	47 47	17 41	55 6	85 2	49 46	76 37	28 93	67 60	13 24	84 16	45 95	15 22	12 93	59 41	29 80	68 41	32 7	19 17	43 38	20 20	24 99	83 87	4 61	31 21	1 99	71 5	64 55	42 15	46 44	69 20	23 79	61 79	56 81	78 96	80 48	0 96	86 80	38 18	48 50	74 47	63 88	89 91	57 84	26 76	53 50	25 29	18 16	6 69	5 68	62 17	51 15	40 14	75 83	3 55	60 84	41 63	58 74	79 10	36 2	77 57	37 53	7 8	30 13	2 28	35 65	21 36	8 41	82 20	88 4	65 38	9 14	70 75	81 34	10 78
19 67	68 89	7 74	62 83	9 86	5 51	31 9	52 98	81 82	54 82	72 96	41 95	75 24	85 13	89 67	56 23	76 49	30 63	1 8	69 88	28 57	25 96	27 55	8 53	78 41	66 8	38 18	24 49	65 67	22 69	39 47	79 8	45 2	26 6	67 50	86 32	13 69	57 84	70 40	60 19	88 96	33 10	44 19	53 50	64 70	2 46	55 92	36 10	0 93	37 59	11 42	21 81	18 59	14 45	29 66	47 94	20 78	17 83	74 3	3 42	61 78	82 56	80 43	35 15	63 7	43 42	49 71	32 86	87 50	34 65	12 12	15 67	10 79	6 54	71 91	59 1	84 84	77 33	40 71	48 92	58 47	50 86	42 37	16 17	23 64	4 83	73 64	46 99	51 69	83 25
85 12	44 56	49 71	73 58	89 85	42 31	54 73	41 51	22 23	21 15	28 31	33 14	87 17	86 80	39 37	48 59	34 88	60 87	4 43	13 67	24 77	10 37	3 39	51 26	88 80	55 56	30 28	83 6	32 59	27 27	31 97	14 99	46 47	82 62	74 20	47 7	18 61	7 92	69 36	6 60	15 48	59 8	79 61	56 86	16 95	45 9	67 54	40 97	72 12	12 42	66 13	58 85	81 4	57 6	8 82	71 91	11 45	38 21	1 47	5 63	35 35	80 3	17 90	2 9	68 69	53 83	23 56	77 41	63 53	62 72	78 4	52 44	84 87	75 55	20 78	26 56	36 28	37 89	76 16	70 93	65 27	25 68	61 27	9 72	43 15	19 7	64 38	0 21	50 35	29 82
70 82	29 3	65 3	53 52	15 93	31 90	3 79	47 94	11 53	75 86	17 41	40 39	61 2	33 70	52 37	46 96	48 95	74 85	87 98	50 32	27 36	0 8	24 38	14 40	84 94	1 58	9 49	39 85	41 94	37 47	76 30	57 25	5 30	66 84	71 13	79 4	80 43	58 24	49 64	72 5	13 57	36 70	42 70	8 62	62 45	78 27	35 57	55 87	32 29	16 96	60 78	20 40	68 11	4 66	64 47	23 86	18 58	82 17	7 1	85 69	77 15	28 99	12 17	26 91	6 96	86 42	34 28	89 97	54 35	73 30	43 31	67 67	30 66	51 37	59 30	2 1	10 22	81 33	38 29	44 92	83 23	45 94	63 28	56 62	19 77	25 81	22 51	69 34	21 47	88 84
18 5	39 58	29 38	79 91	4 52	60 66	3 45	38 4	30 79	0 21	5 2	69 87	6 69	33 2	61 18	58 35	48 33	74 37	63 37	80 91	87 34	16 34	31 79	55 58	53 98	13 54	34 3	36 43	7 42	12 67	66 60	24 84	25 75	82 65	62 16	57 3	46 20	35 5	22 63	81 38	49 10	41 9	43 61	14 34	50 16	52 12	84 23	10 27	59 11	67 34	65 18	88 34	9 57	71 6	68 61	40 49	45 93	2 67	86 23	1 10	51 48	32 81	85 17	70 1	27 37	44 23	76 64	78 6	64 90	56 95	21 10	47 38	42 11	75 63	83 2	37 66	11 97	26 88	73 48	28 9	23 70	8 72	17 88	20 94	54 7	77 10	19 16	15 45	89 11	72 43
54 73	38 85	61 55	75 32	41 71	39 72	87 23	20 4	66 69	34 37	80 65	13 45	26 18	24 38	6 51	14 94	89 63	69 25	86 20	56 2	33 58	55 3	35 36	71 96	58 6	22 49	78 15	16 79	23 78	9 61	73 88	36 61	74 2	37 69	10 78	30 53	88 3	29 91	46 98	77 39	21 43	25 97	83 29	32 71	81 72	79 45	82 69	17 12	57 74	53 46	40 82	68 2	70 71	49 11	84 78	42 2	27 65	52 13	11 87	19 53	47 95	0 33	72 62	62 65	4 58	1 58	50 46	64 24	60 73	15 55	5 27	85 1	48 83	43 59	8 5	12 96	3 82	51 38	7 69	59 5	67 8	2 9	31 23	63 63	28 50	18 90	45 50	44 16	76 23	65 30
88 15	67 84	72 34	66 1	11 20	19 84	54 79	37 8	28 69	13 8	12 60	2 26	49 42	64 4	27 46	59 51	62 58	60 38	22 78	34 2	53 45	81 44	31 15	42 13	73 94	7 81	85 74	5 27	55 89	45 69	77 31	57 64	68 30	51 95	40 27	4 69	83 20	74 94	3 79	65 7	21 39	16 92	52 21	0 96	15 46	76 72	17 37	41 60	23 69	24 78	35 31	56 89	46 41	26 15	25 75	29 12	84 97	44 75	43 72	1 14	75 22	36 62	86 27	47 32	79 24	39 55	82 37	14 50	71 24	6 99	38 29	70 47	32 70	80 21	20 62	8 81	63 98	48 63	33 38	30 49	78 91	50 37	9 96	61 45	10 82	58 5	87 69	18 95	69 53	89 92
76 81	22 12	10 46	46 7	80 89	12 93	18 39	19 54	30 99	65 33	83 52	31 42	75 50	3 73	77 91	81 63	4 95	66 68	55 3	56 43	44 43	88 56	6 10	78 39	13 54	45 50	51 57	71 22	37 49	59 95	29 5	42 29	54 39	85 23	69 69	73 59	53 91	79 76	84 8	70 99	47 25	32 98	61 55	57 22	20 10	48 72	7 45	64 9	87 75	2 99	38 20	28 8	26 65	39 35	62 51	25 32	43 95	34 38	41 59	72 99	8 16	60 97	50 38	5 13	67 54	36 64	68 48	24 68	27 63	86 99	0 46	74 20	49 48	82 68	1 47	17 5	9 30	58 23	52 95	14 69	23 9	15 13	63 96	89 82	16 75	40 23	35 14	11 24	33 54	21 88
56 77	10 1	70 89	84 51	22 11	62 89	8 71	61 93	36 77	24 54	34 7	82 93	74 48	0 60	73 7	19 32	32 68	7 41	31 86	67 72	53 26	77 12	79 46	42 57	59 47	55 53	35 24	57 99	39 98	78 50	2 93	18 87	26 7	4 52	66 49	51 58	11 1	20 90	48 90	3 65	45 78	17 21	87 78	41 92	58 48	38 19	60 44	43 95	5 73	46 12	13 16	88 87	63 22	14 78	33 22	28 30	76 6	89 16	49 6	21 77	9 85	83 37	52 22	12 63	15 84	1 6	37 37	23 77	30 25	50 93	72 13	6 45	69 35	75 69	29 15	68 50	64 88	40 9	27 62	71 34	47 98	86 36	25 19	54 76	80 30	44 29	85 1	81 12	16 94	65 63
